"Market", "Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NYSE","SFR","Colony Starwood Homes","28.39","$2.88B","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sfr",
"NYSE","CPPL","Columbia Pipeline Partners LP","16.14","$1.62B","2015","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/cppl",
"NYSE","CXP","Columbia Property Trust, Inc.","21.32","$2.63B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cxp",
"NYSE","STK","Columbia Seligman Premium Technology Growth Fund, Inc","18.5","$284.21M","2009","n/a","n/a","http://www.nasdaq.com/symbol/stk",
"NYSE","CCV","Comcast Corporation","26.5828","n/a","2012","Consumer Services","Television Services","http://www.nasdaq.com/symbol/ccv",
"NYSE","CCZ","Comcast Corporation","51.96","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/ccz",
"NYSE","CMA","Comerica Incorporated","49.21","$8.56B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cma",
"NYSE","CMA.WS","Comerica Incorporated","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cma.ws",
"NYSE","FIX","Comfort Systems USA, Inc.","29.84","$1.12B","1997","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/fix",
"NYSE","CMC","Commercial Metals Company","15.94","$1.83B","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/cmc",
"NYSE","CBU","Community Bank System, Inc.","47.98","$2.12B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbu",
"NYSE","CYH","Community Health Systems, Inc.","11.47","$1.3B","2000","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cyh",
"NYSE","CHCT","Community Healthcare Trust Incorporated","21.55","$278.23M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/chct",
"NYSE","CIG","Comp En De Mn Cemig ADS","2.71","$3.41B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cig",
"NYSE","CIG.C","Comp En De Mn Cemig ADS","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cig.c",
"NYSE","CBD","Companhia Brasileira de Distribuicao","16.67","$4.43B","1997","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/cbd",
"NYSE","SBS","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp","9.53","$6.51B","2002","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/sbs",
"NYSE","ELP","Companhia Paranaense de Energia (COPEL)","10.55","$2.89B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elp",
"NYSE","CCU","Compania Cervecerias Unidas, S.A.","20.02","$3.7B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/ccu",
"NYSE","CODI","Compass Diversified Holdings","17.43","$946.45M","2006","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/codi",
"NYSE","CMP","Compass Minerals International, Inc.","74.48","$2.52B","2003","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/cmp",
"NYSE","CSC","Computer Sciences Corporation","51.63","$7.25B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/csc",
"NYSE","CRK","Comstock Resources, Inc.","7.62","$95.28M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crk",
"NYSE","CAG","ConAgra Foods, Inc.","47.15","$20.69B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/cag",
"NYSE","CXO","Concho Resources Inc.","140.8","$18.56B","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cxo",
"NYSE","CCM","Concord Medical Services Holdings Limited","4.145","$183.75M","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/ccm",
"NYSE","CNNX","Cone Midstream Partners LP","19.25","$1.12B","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/cnnx",
"NYSE","COP","ConocoPhillips","43.91","$54.38B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cop",
"NYSE","CNX","CONSOL Energy Inc.","19.95","$4.58B","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/cnx",
"NYSE","ED","Consolidated Edison Inc","72.5","$22.07B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ed",
"NYSE","STZ","Constellation Brands Inc","168.6","$33.81B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/stz",
"NYSE","STZ.B","Constellation Brands Inc","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/stz.b",
"NYSE","CSTM","Constellium N.V.","7","$738.67M","2013","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/cstm",
"NYSE","TCS","Container Store (The)","5.27","$254.86M","2013","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/tcs",
"NYSE","CBPX","Continental Building Products, Inc.","20.71","$837.68M","2014","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cbpx",
"NYSE","CLR","Continental Resources, Inc.","53.9","$20.19B","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/clr",
"NYSE","VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","17.96","$1.82B","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/vlrs",
"NYSE","CVG","Convergys Corporation","29.54","$2.83B","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/cvg",
"NYSE","COO","Cooper Companies, Inc. (The)","177.17","$8.64B","n/a","Health Care","Ophthalmic Goods","http://www.nasdaq.com/symbol/coo",
"NYSE","CTB","Cooper Tire & Rubber Company","38.19","$2.07B","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/ctb",
"NYSE","CPS","Cooper-Standard Holdings Inc.","103.19","$1.79B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/cps",
"NYSE","CPA","Copa Holdings, S.A.","85.98","$3.62B","2005","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cpa",
"NYSE","CLB","Core Laboratories N.V.","111.87","$4.93B","1995","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/clb",
"NYSE","CLGX","CoreLogic, Inc.","38.76","$3.42B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/clgx",
"NYSE","CORR","CorEnergy Infrastructure Trust, Inc.","28.68","$340.46M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/corr",
"NYSE","CORR^A","CorEnergy Infrastructure Trust, Inc.","24.553","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/corr^a",
"NYSE","COR","CoreSite Realty Corporation","72.15","$2.45B","2010","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cor",
"NYSE","COR^A","CoreSite Realty Corporation","25.9","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cor^a",
"NYSE","GLW","Corning Incorporated","23.8","$24.68B","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/glw",
"NYSE","GYC","Corporate Asset Backed Corp CABCO","24.1118","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyc",
"NYSE","OFC","Corporate Office Properties Trust","27.65","$2.62B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ofc",
"NYSE","OFC^L","Corporate Office Properties Trust","26.1799","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ofc^l",
"NYSE","CXW","Corrections Corporation of America","13.76","$1.62B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cxw",
"NYSE","CZZ","Cosan Limited","7.54","$2B","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/czz",
"NYSE","CMRE","Costamare Inc.","7.41","$560.92M","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
"NYSE","CMRE^B","Costamare Inc.","21.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmre^b",
"NYSE","CMRE^C","Costamare Inc.","20.99","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmre^c",
"NYSE","CMRE^D","Costamare Inc.","21.95","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmre^d",
"NYSE","COTV","Cotiviti Holdings, Inc.","32.44","$2.93B","2016","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cotv",
"NYSE","COT","Cott Corporation","14.17","$1.96B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/cot",
"NYSE","COTY","Coty Inc.","25.1","$8.44B","2013","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/coty",
"NYSE","CFC^B","Countrywide Financial Corporation","25.7799","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfc^b",
"NYSE","CUZ","Cousins Properties Incorporated","10.19","$2.14B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cuz",
"NYSE","CUZ$","Cousins Properties Incorporated","7.46","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cuz$",
